Detecting language using up to the first 30 seconds. Use `--language` to specify the language
Detected language: English
[00:00.000 --> 00:06.000]  Leaders
[06:43.000 --> 06:46.000]  An arms embargo should be imposed.
[06:46.000 --> 06:50.000]  China, India and Russia are currently the biggest suppliers.
[06:50.000 --> 06:54.000]  Outsiders should press the army to release political prisoners,
[06:54.000 --> 06:57.000]  including Aung San Suu Kyi, the leader they overthrew,
[06:57.000 --> 07:02.000]  and start talking to her shadow government, operating near the Thai border.
[07:02.000 --> 07:05.000]  The Thai government should turn a blind eye to the informal channels
[07:05.000 --> 07:08.000]  by which it gets money and supplies.
[07:08.000 --> 07:13.000]  Only concerted pressure can get the generals to talk to the civilians
[07:13.000 --> 07:17.000]  and thereby put Myanmar onto a less ruinous path.
[07:17.000 --> 07:21.000]  The alternative is a failed state at the heart of Asia.
